username,name,wallet,total_score,total_posts,total_views,point_percentage
overlen001,Nguyen Phan Hoai Nam,0x3074dB7DdfEF10a64925a6a6123379679F86EAa1,21.92,4,1044,0.36
sashinmeena,sashin meena,0x3ae1Cfea83DA97D533Bb5f5E6E31C4ecDea3E057,21.78,4,1257,0.36
RealAntar1,Antar,0xC51fa87d777de83acbC25E6bb6Fb62290567d513,21.37,8,29051,0.35
Choi_Soo_Sun_,Choi_Soo_Sun_,0x949aB7B5d74D4de6936e0C6fa02146C47A1dBbf5,21.37,5,3061,0.35
chaselightt,chase,0x88Df9f66ef65c3C1231f981c85f7B946Bf6d99EC,21.00,2,4493,0.34
Mzsandy18,AMADI EDWIN IKENNA,0x56c4924FDA0a46490f2135Ca259e7Bf1aFfE9B52,20.90,3,564,0.34
Versiqxyz,Versiq,0xf4cd01c5d73f11b4894e42108f26a7cd1bcf80a6,20.86,8,11614,0.34
SARAwebh3,SARA,0x18D4d74e22D6c902d246b1cdE992300c07D37cE5,20.78,3,962,0.34
rylnei,Rylnei,0x7428295c6b7ebecfa25d91e05d47a2a59dfa6c90,20.10,4,1179,0.33
Musty_hasheedu,Mustapha bappayo,0xdadaff041dd50ff24317382e51325a708de446f2,19.93,3,1156,0.33
PrettyFavy17,Big Favy,0x6Be56fDAAa8De8cf6c8Eea8c8138B0363326750f,19.80,8,10889,0.32
Musttt_Web3,Musttt,0x3e9c8585c9bd6426d7f9ae0d52c3757235cbde20,19.75,2,6436,0.32
JhaliaArmas,JhaliaArmas,0x0e5Dd9602Ab1584776cA0163bc9F0830B0274338,19.66,4,2800,0.32
SultanNasir51,Sultan,0x113465e5062a655e7503122575AF392D55b73b59,19.50,2,4076,0.32
jaydeexbt,jaydeexbt,0x36b661f0820e72bf8be96568d52a72f3ebb673f6,19.38,3,1605,0.32
Axismeta,Khamis Ahmad,0x790E3d7f5421fAb58e63a74CC6aDD7c4b2eCD610,19.32,11,4037,0.32
rosetina_degen,Rosetina Degen 🎩🎒,0x53bB62BFBa912847D0B8d3eff55542bAE991bb0D,19.25,2,14661,0.32
GookieNft,Abraham,0xc4b41818715268ba6d5c78ff0cddd180476dd1a4,19.25,2,1744,0.32
jul56502344,jul,0x898E7BA5997Edf98aC95E19a2D8dc417Fbe80621,19.15,7,11474,0.31
regularweb3guy,Augustine chibuike,0x6c056F656AE0B7F37E15eACB63D577561A07b686,19.12,9,12813,0.31
Trathoa,Trathoa,0xa931D1Fd0F87191e3CD71e68c6A6F39e588CB4FE,19.08,7,15169,0.31
psypth,tyr 🐺,0xd9926e2232b49bab2e1543613d286622411accaa,19.04,2,2435,0.31
hitasyurek,hitas.base.eth,0x4830764Cb1252Fc7553231E2FBF5b09961a29c59,18.93,3,4657,0.31
AnhDaDen811,Mankhan,0x09e4ed69b90612a178f117ccabbacc1979901c3d,18.75,2,11534,0.31
Nex0ra_,Nexora,0x9ff4359d5f8611084e608139d99deefe740b9d3c,18.75,2,9095,0.31
Dzola17,Dzola,0xC6776bBa507Ed718C9D7AeE70b0eA1B1C26ec8Af,18.75,2,13326,0.31
NKLinhzk,nklinh.eth🐬TermMax,0xcf66627975f8809d521d3da76e7ab3fd848a7660,18.75,2,43467,0.31
Gamerfigirl,Viora,0x6865D33a359b2ab9D46CAE2762e9Ed3Fa9a4145e,18.75,2,2198,0.31
Timothyayodeji8,Timothy,0x51a0451a55258e901253b0e7747ba7656987396b,18.74,7,32705,0.31
SpilsA,SpilsA,0xC967255394fa6BD630F8405bD69b51d70Ad73F01,18.72,4,2532,0.31
NeoH0DL,NeoH0DL,0x304261e5Df3801bD25CF2912Ec1af32Cad25D604,18.56,2,2655,0.30
GuruVerseX,GuruVerseX,0xDeAC23A7c7A4F105eA65da2A6a506A49Fa8E42Bc,18.54,7,16658,0.30
Thao19872017,thao,0xaD5DBD9a843801164732353f8555A90db13dC0cd,18.50,2,18191,0.30
IcMechs,Mechs,0xccc90112dc1e75ff6bb9ada31db7b179105c3422,18.50,2,5733,0.30
Kyo_NLD,Kyo,0x00edf8e6eee1706bca287d6e9ed23bf767fc4a07,18.45,4,2230,0.30
0xxenoweb3,X E N O | 🐬TermMax,0x82813d1528f0b25360639460070080a756c69029,18.25,8,8611,0.30
bobthebeanbaby,bobthebeanbaby,0x00aF28f49C01E28c4F25C2c3a7f33E508D777A07,18.04,4,1685,0.30
only_one_oscar1,Oscar,0x5F41297c6c24B5C549E2f673c1e4038bf0cf76f9,18.00,2,4752,0.30
Fabulous__xx,Fabulous💸,0xBEBF32f7b33B41f8B141F168f1f61Bf4Bc4AE774,17.87,2,3095,0.29
rebeccacoupland,rebeccacoupland,0x9c6b6EE9f10e2a63d94974b7A37Df0F1D7457B16,17.85,4,1868,0.29
Promzy__M,Promzy,0x96421ac7d040518ac5e667201254d032864f3e23,17.83,8,7760,0.29
realmaxfi,Max,0x6A14588d869E0B11Dd8bcA209aB982315036fAb0,17.76,2,1252,0.29
growth13130,Nwabueze Ikechi Isaac,0xfee7968d2337e3f3e80be40c728f3f7aa9255c09,17.75,2,8248,0.29
Qirnft,Crypty Universe📊,0x8996a21b8cf30a741078f995d9a58f6c543a0ca4,17.75,2,3288,0.29
Chinwo2,CIN,0xebf3e4918ad4bf0ce224277e1feb513c2887b322,17.70,7,13590,0.29
okeymorak,privacy ish🪿,0x2df868f3176ed8f95d3b0d617a508e2478454ddd,17.69,3,374,0.29
minako_rpm,minako,0xC1d37688867118246A3C80Ad7705F1c69AE1f6d9,17.62,8,7501,0.29
0xcrispdal,Crispy,0x8a5348b3f0c98be7dfdb96f5a3ebc25b6047e306,17.62,8,5862,0.29
Mineus092,Antonius fajar h,0xA87f03d0e70090b89Fd30a5bE355F9daEA1a58c5,17.61,7,3631,0.29
teelacream1,tEO,0x951258c3e166ca7f5cefac5bcd099778d5767885,17.50,3,2527,0.29
Caccy_001,Victor Edwin,0xd57e1aacd744e231868cec97fa038f7f65c915ef,17.14,8,6096,0.28
NightCitizen,NightCitizen,0xa5d4479e06e1C397d81869436f622AAE06b801C9,17.00,4,1803,0.28
1shreeram0,Shreeram Jangid,0xd9c60e1159e5acc20552382600a50f8cda1525e7,16.98,2,1367,0.28
congyinglingxia,Griner,0x68db396c4f88fe96d9ec7d3c9bc80baf82bb7f87,16.94,4,2232,0.28
Mariko0x,Mariko0x,0xEd49Eb1503fD3cC40744bF1474926Faaf6a08BDf,16.76,4,2917,0.28
office2crypto,office2crypto,0x97Bc998dBDD5D5a9df74cB589F4eabd516D4a22A,16.75,3,3219,0.27
Traviskrypto,Travis,0x150905B32B99a5974b846466096Cf51EDf8FDc96,16.61,3,1386,0.27
varyant3500,mesut,0x543e3C00E9C6C0Ed2Ef420302a574F1DCFa83e93,16.25,3,16190,0.27
Dkverma89,Dinesh Verma,0x96FB478eAda938765Ba686DF6988a6EAAB49e416,16.23,2,1054,0.27
luluca_pp,luluca_pp,0x750Ff9679d229CcC28Ba6E011bAc955926333146,16.06,3,2739,0.26
apelkorv,apelkorv,0x86515adbbc3A02D7f5cceD10885150502C776cBC,16.03,3,3167,0.26
callmeperry3,callmeperry3,0xeCe7205C26F7D58b1eD899fac8e68D2EE49247b4,16.00,2,0,0.26
cxmrondlls,ngotrung,0xFe28B624df045873f15C6745e5380F2C8e7429DB,16.00,6,11867,0.26
Dhavied_brown,Dave Brown,0xc750758366FA248Ec54590d8f98dF3358368238d,16.00,2,1108,0.26
Aemar00,Aemar (✱ ✱),0x1d89d1cde8f01e5620debbcae90c312246a9f68c,16.00,3,235,0.26
Eloghinova,ValeriiVSL | 𝔽rAI,0x71004760Eb3F6Fb351358aBD8cfe7B481F5e086A,15.95,2,3318,0.26
WhalePiz,Tinh,0xb3970fb6a4b1fea864612eefc7c84131fade72e0,15.92,6,23193,0.26
Falalu83,Abdullahi Falalu,0xF96ad411eAe22DDc8aA7Da3D496413DF50FBa8fc,15.70,2,864,0.26
DonSmile12,Smile,0xC7f99a56A492D69a5F53E02436280C9A2B503E24,15.62,3,322,0.26
WingroveRobert,WingroveRobert,0xc47BE2036326bA92Fa68DC2F2BA16952b8f85604,15.53,3,3010,0.25
crypto4mikey,MIKEY,0xbbbbdf3ab00a2b1e72893b712ae484b8b0a903e8,15.49,3,662,0.25
amadarln2,Amie,0x885f7b41cff62c8309bd609b8bca4332dafd3675,15.47,2,1378,0.25
GujilRuipa,Gujil Ruipa,0x147da61d038Faee3b73Fa90AdcE9A2abC2d87558,15.43,2,1428,0.25
madmagicsol,Hoa Van,0xc88FA8BF8a0A451b5DE6D1ccd35F89fB92962bd7,15.30,2,777,0.25
luckyluke_eth,Lucky Luke,0x176987a76d999bf117377aaaa6c2e54c44fcf6f7,15.25,3,219,0.25
Tentacion_sin,Tuan Anh,0x05f5b21fe287bfa78af42c09f9a44796b0917daa,15.23,9,3276,0.25
furyrdx712,Harpreet,0x757e602000f34fc2099d5af2bba1bd2e5bf49f25,15.14,2,531,0.25
AbdulMu09708501,Shawon MN,0x6c35a1bc15F0508c434Dc118Aa5a6f1f3Fe57418,15.01,2,780,0.25
King_dav000,Dav,0x945d68012B88644433156dC99f81383e0F625799,15.00,6,8050,0.25
ezraverse_x,EZRAVERSE,0x03CA1a1A0040597679402d71813C0Dbe877f4116,14.90,2,2623,0.24
Chakdl,Chakdl,0x6FC4a111e62c0a10f0246be5424E83c72938FE06,14.82,3,2588,0.24
Abba__80,ABBA,0x03fa24549d896DD8B582568BD17c27B1f63B1f10,14.72,2,783,0.24
0_manager3,Teo Manager,0x861ccf00bf95c42ace8bda81ba021de90d315d45,14.53,2,3403,0.24
Surprise6198,Willow,0x7410dd515287bf51a95cf7e3fd220210413c9b5c,14.50,4,226,0.24
ArewA_96,Abubakar Zulkifilu Adam,0x61fc128e27cc1cfc42598fb411a3ffa82eac808a,14.37,2,4275,0.24
Chorux666,Chorux,0xBfB6b759E824CfdFe81e475DE2a4dad15f31c765,14.29,2,346,0.23
skuullls,SkullZ,0x23edd37103613e3d86a4274ce0dcba1fb72f1e8a,14.25,2,2715,0.23
mahonebtc,Mahon,0x4eec5881d2e807a4afe295c7d6c018f5d7a617ac,14.25,3,523,0.23
RurouniYu,RurouniYu,0x784369FaB89a92F242b92452Cb19aAc0097ca4C3,14.22,3,1527,0.23
mrvictor2626,Mnweb3,0xa3b1dc050f3a81f6fb5ffe52a7dc995545304198,14.20,7,4374,0.23
MANO143302,MÅÑÔ,0x43d459dd6a4e50206cd3FAd65D592E73781ac3fd,14.15,2,8096,0.23
CRYPTO_ALVERON,CRYPTO ALVERON,0x713c8aEa444C2Ad739D0f7fD84a8951830735bF6,14.13,2,1022,0.23
sholaax_,sholaax,0xfbd5011f9d35433aecd40e1f474b424de4674842,14.08,2,1697,0.23
HellEthhhh,kosturmabeni1,0x8F772Af47D8B510D859f47398b43864DDd3F435D,14.00,3,128,0.23
0xMrCurly,serdar,0x197bA93c3Fc804446626083bb8bba679F90222a8,13.78,2,265,0.23
Hz9r8nxlJason,0x处长Jason,0x84bf184ab1a0cbe65531f14c2ab0a891253f19bc,13.75,3,303,0.23
Mertonghen2,Mert Görmüş,0x8b0f24feec036aff6a6651b811492ddd90b82a09,13.74,2,2614,0.23
ApexIkaru,ApexIkaru,0x5332e6431cb4b1e056104d4cf23ad74c183c83f4,13.49,6,3167,0.22
nazarius_amb,nzt,0xce48E68904B2EDD163384b3D4c8c2B22DDa05671,13.25,3,236,0.22
mateocpatricia,patricia ana .❤,0xCe84c05918315Fbc43348a886EC6839264241843,13.19,3,878,0.22
eternals_io,Eternal,0x408b95510e8e5a1d065ebd8ac8858eacc8478ad8,13.16,3,1091,0.22
milinerose,milinerose,0x668eb55cff1C157Dcb36F3C34c35665f03eA465c,12.89,3,1440,0.21
d3rekson,Derek,0xb4722f075317f877e7f595131a4c9bbf3ec3800a,12.83,5,17913,0.21
Zyntrixt,Zyntrix,0xfd3cc03b0bc89d8bdc6b56fefb61f45f69a30360,12.83,5,33983,0.21
OGFIGO,OG FIGO,0x3966e168ec7e3e0f1007bac9b49187f73fb54d5c,12.75,5,6694,0.21
Josephoffiong4k,Mr_Josephhh 🤖ボッ,0xB23f40e5F70b5617aB0918123C39Aa20fb9Bc620,12.74,7,1731,0.21
buttlaibyy,Ali Taimoor,0x67a7151aF9Fe801f2ec298328F0c2b9516ae0834,12.58,5,4975,0.21
keremabi16,kerem,0xb7B36D147A85949F3bb96a8ef348fB420209bd40,12.50,3,458,0.21
mirza_sarmin,mirza,0x849c5E5e8851c8409c6fFc54e26CaD303b236921,12.46,3,380,0.20
pigrichh,Nguyễn Hồng Nhung,0xfcd3f83648aff5abff318afff00f4e2b4ffda7c5,12.36,5,6250,0.20
Ginny26869024,Ginnystar ✨,0x14FA3Be363bb8EB71B87EcE99Df78486daBbfB67,12.16,6,5353,0.20
chaeri___,chaeri,0x76F160F89a15920bE51dC66Aa957f490146F744d,12.14,2,2610,0.20
Akinsola06,Abdsalam Akinyemi,0x3e4bc5f26711fc6af2dd5ff0d234973a185075a3,12.05,2,400,0.20
Lin98201,Ling🐬TermMax,0x98b1452Ad6EBDf3019F7DaDD5BF93d4D147Eb7B6,11.96,5,6383,0.20
tdh1302,TRAN DANG HOP,0x21b45103dd05c43969daF3CbB4277391777e2eC7,11.75,3,53,0.19
0xDragonHash,Abdulkerim Akay,0x5777DA469aF845AdE4E0c89D7AEcA5db9879E0B2,11.62,2,1299,0.19
TheFemog,Oluwafemi,0xeB007A72346edf26e9910957AF4c2c14853EDE2d,11.61,6,2882,0.19
Trenchwalker_io,Trenchwalker,0xabe2e29a2916b1d494eb2ceb998b46d8c06ec2e6,11.53,8,940,0.19
Clinton910z,Clinton,0xf8e5bdF253aD5Be1d254433cF0Ee2E179A35E8e4,11.00,5,1808,0.18
hizqilsky,Hizqil,0xa64768627f4eBdCac40CD830485987ac2E6a760d,10.98,2,661,0.18
0xhypeeth,Mr.Jack 🐬TermMax,0x7ddb22b48ccb1104f24e98d5f74b97f46c9ec888,10.97,5,2750,0.18
Yashashre1,Nguyen Hong Thinh,0xBf8aC28a677db23Aba7144F1357b71D7881f6E53,10.83,2,1799,0.18
Heroman0x,| The Heroman,0xd6a83529fDaBb0c8711A58b1244263862dbe9969,10.81,2,634,0.18
Krnkmr,Krnkmr,0x61eE15C1831ed97005f1dCa65f9821745eC766Ad,10.80,2,1652,0.18
AkdoganCoin,Furkan,0xff3a3cfc42d27e85dba9ea85f0bfec34bd632f9a,10.52,2,628,0.17
LannnAnhh,Lan Anh,0x5c689c48001bf8bd5F732A88911A66A99639e056,10.25,2,61,0.17
Amenouboy,Amenouboy,0x44b6De46CDfA8A2c16c1bd2D13DF8f07D0835c64,10.08,6,3765,0.17
Divjay_,Divine Egure,0x20ce8676417ba50c60462b7f3be1cd21f72eff4f,10.06,2,436,0.17
skysaksham,Sam 🂾,0x13b55e5284d66e5b44667244af871764361d89bb,10.00,1,2161,0.16
0xgoryu,ryu 龙,0xc02fBf1D030Ad97b84c1E1A533d37a6A2a1Db2B3,10.00,1,658,0.16
HabibPaart44952,Arjun Habib,0x2C9BC71E4E96a65EDd741B59419997A2657B1b25,10.00,1,490,0.16
dee_e6,Dee,0xDC3F93744EC88DE6782b70b6bcD668F6A334EFBA,10.00,2,97,0.16
lordobi_swc,Lord OBI,0x75a640EF71a77D856f6F8A5Cc3B1d43AF44827AE,10.00,1,571,0.16
0x_miraweb3,Miracle,0x68B0026004A79e5998533a5ab6A836c42d2d7632,10.00,1,2793,0.16
padres_fernando,padres_fernando,0xF02F4DD849F027D49041b0c3F8e653Cf8E3EDF1e,9.86,2,1712,0.16
atlas16022015,heymen33,0xC2838c5F882f43958ac6993b5195618595C3F283,9.84,1,2707,0.16
Tam10723,Heart,0xc7ac22524df380005c6d60b9d81f7a52a3b638e6,9.78,1,1239,0.16
sheetlyxbt,Sheetly,0xcc6c55a1ee9c0771d184738203e4311ce79bc747,9.75,1,3520,0.16
degen_kid01,𝐃Ξ𝐆Ξ𝐍𝐊𝐈𝐃,0xbdfa3d13E5644fBa20aB3EB1d354693D404D281b,9.75,1,1771,0.16
0xzexor,ZEXOR,0xEC7355518962E00Fb192F8c0be16C277Dd593e82,9.75,1,590,0.16
maza65ct,Maza,0x8779a475bd06f46c88ec10768e540c4f719c9d87,9.75,2,151,0.16
Adetokun_Isaiah,zaiahchoco,0x6a164c14bcc4fd458e4b5d2d509e1506a5c21cd7,9.75,1,6208,0.16
aaminhajj__,Aminu,0xcb172bf110940d6c8ebd32b4a41d1101495690f5,9.67,2,155,0.16
iamlequanghuong,iamlequanghuong,0x23934e253c4f9c44f73a85b350c00a72e1d9c20b,9.65,1,1061,0.16
Arionnz,| Arion |,0x8445a688e7bfa2a159af2f1f5f619920e4afa689,9.58,4,1750,0.16
Dan_cryypt,Daniel,0xfcd795d81b0c8f45afa1b5eefd9e02fe29e6f6d7,9.58,1,447,0.16
ArewaGadgetPlug,Ahmad Uthman,0xaa0e1058C881F9fC9b5f9FC2724ca12E3e72992E,9.53,2,221,0.16
onlyreaderx_,SofiX.eth (reader arc) 📖,0x3d3c9859CDe8eF1A51456f7166BB17d7CFb1D6e6,9.50,1,764,0.16
slim_timothy24,TIMOTHY,0xc1e337bf5977d0947f6a298c0a8be225093f1716,9.50,1,756,0.16
readnrest0,Youngmin Lee,0x02454407Cc4a7Dc79788372929bFc767d5e1D7e5,9.50,2,111,0.16
adekiiiteee,adeee🧡,0x2fbc28158512fe2d3b1679396f2cd56a6b62abab,9.50,4,10051,0.16
jeniferweb3diva,Busaba บุษบา,0x7aE8adFcC778c66c312bFbaC84Eff1402836ce7d,9.50,1,6360,0.16
Realdropforge,S D Rai,0x7E0Eb14cc0d6C89Ed8650AC73660395aa61D3F91,9.50,1,2426,0.16
Juilan_mr,Nguyen The Nguyen,0x77ED5b57A08436C218eCCe26fa9DEf66E149e0F4,9.44,2,364,0.15
eric0xbt,eric.eth,0x88E6fAF07919c849a6dD8c46416D2616db61AdA6,9.38,2,97,0.15
Enzoxbtc,Enzo,0xCDA9BFD21b74ffEB74Ad1300256f3f5d6F77Fe3b,9.36,2,520,0.15
