
> mma-robot-landing@0.0.0 epoch2:dump
> node scripts/dump-epoch2-leaderboard.cjs

rank,username,wallet,postCount,score,srEligible,status
121,@Jimmysnooploo,0x91d49E37c64eb0cb24D24Ed2D38119c9AB78f3D5,6,10.00,false,Not eligible
122,@Musttt,0x3e9c8585c9bd6426d7f9ae0d52c3757235cbde20,2,10.00,false,Not eligible
123,@KaMii,0x0E880cA87895132880c1FfC97B331F341dA01051,2,10.00,false,Not eligible
124,@Dee,0xDC3F93744EC88DE6782b70b6bcD668F6A334EFBA,2,10.00,false,Not eligible
125,@jul,0x898E7BA5997Edf98aC95E19a2D8dc417Fbe80621,6,10.00,false,Not eligible
126,@Lord OBI,0x75a640EF71a77D856f6F8A5Cc3B1d43AF44827AE,1,10.00,false,Not eligible
127,@Mad Magic Sol 🥇🐬TermMax,0xc88FA8BF8a0A451b5DE6D1ccd35F89fB92962bd7,2,10.00,false,Not eligible
128,@SHAKIB,0x442bE7DFd31a9C71D1b3d3cB3cE1A4Cf3dBeDa85,2,10.00,false,Not eligible
129,@padres_fernando,0xF02F4DD849F027D49041b0c3F8e653Cf8E3EDF1e,2,9.86,false,Not eligible
130,@Rylnei,0x7428295c6b7ebecfa25d91e05d47a2a59dfa6c90,4,9.80,false,Not eligible
131,@Kalista,0x4548534b1a5b599F57AeA9e7e2174603bf0d967b,3,9.75,false,Not eligible
132,@motion.,0x70a64632342c465BFa08bb8c7e2d962cFdF1Dbe3,2,9.75,false,Not eligible
133,@ZEXOR,0xEC7355518962E00Fb192F8c0be16C277Dd593e82,3,9.75,false,Not eligible
134,@Shreeram Jangid,0xd9c60e1159e5acc20552382600a50f8cda1525e7,2,9.75,false,Not eligible
135,@REJAUL Ⓜ️,0x7C056212702A3Df8bDc5F18aE7b6B9ed6657E6E0,2,9.75,false,Not eligible
136,@Sultan,0x113465e5062a655e7503122575AF392D55b73b59,2,9.75,false,Not eligible
137,@Wilson,0x87b636ad699636617dd7b69dd0973e46d4ef6103,2,9.75,false,Not eligible
138,@𝔻ℝ 𝕊𝕋𝔸𝕌ℕℂℍ Ⓜ️ ⚡,0x48BBbB8989bCA0C9655Fbd716AC511a1F03E9d5F,2,9.75,false,Not eligible
139,@Catinat,0xbAbFF80ceDFb5D663332D8DA03c56be85293627C,3,9.75,false,Not eligible
140,@CryptoJuñior,0x9e7486e6e393ebBd68F73Bf1D74A901d1553AC3C,2,9.75,false,Not eligible
141,@Lucky Luke,0x176987a76d999bf117377aaaa6c2e54c44fcf6f7,3,9.75,false,Not eligible
142,@𝐌𝐞𝐡𝐞𝐝𝐢,0x14D21355Db8569736A583e0197385f5C26888Fbe,2,9.75,false,Not eligible
143,@Max,0x6A14588d869E0B11Dd8bcA209aB982315036fAb0,2,9.75,false,Not eligible
144,@Sheetly,0xcc6c55a1ee9c0771d184738203e4311ce79bc747,1,9.75,false,Not eligible
145,@tEO,0x951258c3e166ca7f5cefac5bcd099778d5767885,3,9.75,false,Not eligible
146,@X E N O | 🐬TermMax,0x82813d1528f0b25360639460070080a756c69029,8,9.74,false,Not eligible
147,@Aista,0xC8D3ddeF1Fc8240739D60965a102E3F7bf8BAE30,4,9.73,false,Not eligible
148,@Grace Iwuchukwu,0x561d7dc6dc66d4d2e3fe33d138f7de10ca01cef7,2,9.72,false,Not eligible
149,@iamlequanghuong,0x23934e253c4f9c44f73a85b350c00a72e1d9c20b,1,9.65,false,Not eligible
150,@ha,0x9219d387224d1d9bc9009cb6395a2f2e0094726b,3,9.64,false,Not eligible
151,@Daniel,0xfcd795d81b0c8f45afa1b5eefd9e02fe29e6f6d7,1,9.58,false,Not eligible
152,@𝕊𝕡𝕣𝕚𝕥𝕖,0xe2f6aebd4dff1c6593fb0a645d5a6b3ba8111a38,4,9.50,false,Not eligible
153,@Mankhan,0x09e4ed69b90612a178f117ccabbacc1979901c3d,2,9.50,false,Not eligible
154,@Busaba บุษบา,0x7aE8adFcC778c66c312bFbaC84Eff1402836ce7d,1,9.50,false,Not eligible
155,@Fabulous💸,0xBEBF32f7b33B41f8B141F168f1f61Bf4Bc4AE774,2,9.41,false,Not eligible
156,@Traderibo,0x7eac578521fe48f8ef5068563f67e768b8a85f9d,3,9.40,false,Not eligible
157,@eric.eth,0x88E6fAF07919c849a6dD8c46416D2616db61AdA6,3,9.38,false,Not eligible
158,@Enzo,0xCDA9BFD21b74ffEB74Ad1300256f3f5d6F77Fe3b,2,9.25,false,Not eligible
159,@Papy,0x2A4AC7409D43D111A3E471087226618538fF2B71,1,9.25,false,Not eligible
160,@ERKAN,0x3F31Fd7A98f90638b1263AAe656aF79A2002dc1B,1,9.25,false,Not eligible
161,@Benjamin,0xA316547E27bCF7F175eF4d5044D22Da6AE6d9edc,1,9.25,false,Not eligible
162,@Taheer,0x45b97f753f7cdbf2bc70fe013b854adb714a13b3,1,9.25,false,Not eligible
163,@Keng N,0xD924d8402Ce135957DC35fe338C61690e24861aD,5,9.19,false,Not eligible
164,@Mr. Jax 🐬TermMax,0x03193b2a5580ed18cb36efdac81b323bc746f33e,3,9.18,false,Not eligible
165,@Victor Edwin,0xd57e1aacd744e231868cec97fa038f7f65c915ef,8,9.12,false,Not eligible
166,@FAHAD,0x15B47032e5D0ed4373E37Df8fB5962e88fA4dD89,2,9.00,false,Not eligible
167,@Mustafa,0xfe4a4Bda927BDEe6f6650d419Fd3cD9018d4660D,2,9.00,false,Not eligible
168,@EZRAVERSE,0x03CA1a1A0040597679402d71813C0Dbe877f4116,2,9.00,false,Not eligible
169,@SkullZ,0x23edd37103613e3d86a4274ce0dcba1fb72f1e8a,2,9.00,false,Not eligible
170,@dee,0xdDA875aB21eEFFEaE8DAfC5Ae3bFd21d9acE6d21,2,9.00,false,Not eligible
171,@saint lee,0xfe3bc1eb469c70bfb462a9e208826e990bb078c0,2,8.95,false,Not eligible
172,@Cobra_10K,0x698173b62cb87686b2c038493bb9d538ac608287,2,8.75,false,Not eligible
173,@pprimnida ʕ••̫͡•ʔ•Noya,0xc4f1e9000e039e97dc5092fba83c8d34dd41f727,2,8.75,false,Not eligible
174,@Nwabueze Ikechi Isaac,0xfee7968d2337e3f3e80be40c728f3f7aa9255c09,2,8.75,false,Not eligible
175,@AnhsDuc,0x94F4e89c91BD375Eb9aa78E4bDbDd67cbF12e18A,2,8.50,false,Not eligible
176,@Phuong 👊,0x2c8165f7636b6a020727b756f5a48438371317df,1,8.34,false,Not eligible
177,@tamtd,0x82032F4f85f4A9ADfC0B1a881D7c8C93653E4812,2,8.33,false,Not eligible
178,@0x处长Jason,0x84bf184ab1a0cbe65531f14c2ab0a891253f19bc,3,8.25,false,Not eligible
179,@Paul,0x7c818C391Db52bEB3F77DD6BF4468eaC5518fFC1,2,8.25,false,Not eligible
180,@bobthebeanbaby,0x00aF28f49C01E28c4F25C2c3a7f33E508D777A07,4,8.25,false,Not eligible
181,@XQuack,0x5c3f31561228fff228fff16b48007375336cde56,2,8.25,false,Not eligible
182,@MsxChriz,0xe9f1e71E409cF1808925519d427Aa5AC65396Fd0,2,8.21,false,Not eligible
183,@Trấn Thành,0xc83c8916a1b9414de7f42deef4eb01917ec74451,3,8.16,false,Not eligible
184,@GhazalBasma,0x5129aA3ad7Dd8539bc3929702686FfcFa9f024C9,2,8.03,false,Not eligible
185,@TRAN DANG HOP,0x21b45103dd05c43969daF3CbB4277391777e2eC7,3,8.00,false,Not eligible
186,@Abdullahi Falalu,0xF96ad411eAe22DDc8aA7Da3D496413DF50FBa8fc,2,7.92,false,Not eligible
187,@Base.eth,0x3aC5974fD4866700ba013D4e1159Bf7E3D6d6256,1,7.88,false,Not eligible
188,@Emire,0x4EA3e78C11FcE7DD4d7e3AA8F37Cca193E9325B9,1,7.87,false,Not eligible
189,@JuanJoParejo,0x04301601de687236E912a8c22A31625D6EeA3c5F,2,7.74,false,Not eligible
190,@Brooklyn,0xC8678170e0E793AF3DaeEdbFB07c045a8b4bb393,2,7.50,false,Not eligible
191,@Deborah,0xE45c4407c27fC6e27a716367e2FCB3c9A83B68e5,2,7.50,false,Not eligible
192,@𝑆𝑎𝑛𝑙𝑜𝑢𝑖𝑠𝑠𝑠,0x86c33d544a8fcf77cbbbfe5b17ca3542ab7abb9c,2,7.50,false,Not eligible
193,@atichat khunchumnan,0xa48b036b9FE9192552F6911c7d15d3b943e2811f,2,7.43,false,Not eligible
194,@Nguyễn Thị Linh ❤️,0xCECAfe0749D91E990B51e879952322d35a7072d5,8,7.37,false,Not eligible
195,@ChainBuilder.pro,0x73e5D578929799f707707B3e73adCb43907D5eA9,2,7.31,false,Not eligible
196,@Youngmin Lee,0x02454407Cc4a7Dc79788372929bFc767d5e1D7e5,3,7.00,false,Not eligible
197,@Abuhanif,0x3430Ce58a8D5E3e31C1F73e0f3377BA65d92Aefb,1,6.96,false,Not eligible
198,@Ishaq,0x6a5a3825554dDc464084909ffD722191708B1c0e,1,6.85,false,Not eligible
199,@Hannah,0x15123bE4663dDe5eba8a4457A3050a3545367c05,3,6.85,false,Not eligible
200,@serdar,0x197bA93c3Fc804446626083bb8bba679F90222a8,2,6.81,false,Not eligible
201,@John kelly,0x4d2127Fbe2eF183135cE38C08f397C19901daD1C,2,6.75,false,Not eligible
202,@Mert Görmüş,0x8b0f24feec036aff6a6651b811492ddd90b82a09,2,6.68,false,Not eligible
203,@RurouniYu,0x784369FaB89a92F242b92452Cb19aAc0097ca4C3,4,6.56,false,Not eligible
204,@Urteamsfavoritecoach,0xae982f37Ef5F7922b7A497cba3b23C441C7cac38,1,6.52,false,Not eligible
205,@EFO_xx,0xd758e4edbf63c23957214282b13ca9bfb5b72676,2,6.50,false,Not eligible
206,@无法忍让🤖ボッ,0x93eecddd94fa42f1b0c082e79ea1998a91216acb,2,6.50,false,Not eligible
207,@Dave Brown,0xc750758366FA248Ec54590d8f98dF3358368238d,2,6.25,false,Not eligible
208,@Rejoice,0x650E317113C7e883d58AbA5fbD472e5F195C27c3,1,6.23,false,Not eligible
209,@Richard,0xecec188d4299d8f00d8942f9b2e9b7210e9bb614,4,6.20,false,Not eligible
210,@Daniel,0xfc7e35F51c1Cf318fccbe677D9289924ec852164,2,6.09,false,Not eligible
211,@Young OG,0xAFE9f4654cD8237ffbbe9379F20021499Ba51431,1,6.01,false,Not eligible
212,@车九,0xe0facb302a52844833729181d9a0a5c8894895db,2,6.00,false,Not eligible
213,@0reweb3,0x182c60f0d2beb81C99B7f52b3f1310F670294B45,5,5.78,false,Not eligible
214,@Luis,0x1a04d1f97F7CF151Cc76bb3d51d2dffaf29dcc4B,1,5.72,false,Not eligible
215,@| The Heroman,0xd6a83529fDaBb0c8711A58b1244263862dbe9969,2,5.71,false,Not eligible
216,@Juss,0x979Efc72454e7343b17180a92c53df87C5E3D562,1,5.66,false,Not eligible
217,@8IGHTY 4OUR,0x7525c1edf43cdb991fdae5ec70bb4546e5aa0ce7,1,5.58,false,Not eligible
218,@Mira,0x68B0026004A79e5998533a5ab6A836c42d2d7632,1,5.50,false,Not eligible
219,@ryu 龙,0xc02fBf1D030Ad97b84c1E1A533d37a6A2a1Db2B3,1,5.50,false,Not eligible
220,@CRYPTO FOYSAL,0xd6F2F95A5fCDc00c53e2e638D56d5A50b7814b8b,1,5.50,false,Not eligible
221,@Cuowngf,0xf90225c6f9A8588235C67825FbAE4A4291d44b31,1,5.50,false,Not eligible
222,@Sam 🂾,0x13b55e5284d66e5b44667244af871764361d89bb,1,5.50,false,Not eligible
223,@0xcuongdo,0xd48E13DE39d4CB4F70a83ACfB3866fBC8b9B947c,1,5.47,false,Not eligible
224,@Saino,0x0983e5fa77c7eD9F6337e39bb18a3C50947c5019,1,5.41,false,Not eligible
225,@Abubakar Zulkifilu Adam,0x61fc128e27cc1cfc42598fb411a3ffa82eac808a,2,5.37,false,Not eligible
226,@Neki,0xa3a19133ad1b8a7140cb2f8d69bb40b546c68884,6,5.32,false,Not eligible
227,@Crypto Hustle,0xf2d11B5d9aE8c69D058Bb51E3a60077Ab8534b1E,1,5.25,false,Not eligible
228,@Tsukuyomi.eth,0x149d485f982015b9fa7071dfbbcad66b494cb9e5,1,5.25,false,Not eligible
229,@batinho,0x81f28a69bd2ad3405b7a87272a10e2fb0b2bbfb0,1,5.25,false,Not eligible
230,@crypto_lifestyle,0x27232e2719988467e9d8b415b084fb40f5b816b5,1,5.25,false,Not eligible
231,@le long binh,0x39134f5b54aae49a76c4c015c0a5c41241181e55,1,5.25,false,Not eligible
232,@nomaden,0x2899b1d9a696ae5317f7988384abe88393f5a2a5,1,5.25,false,Not eligible
233,@Ada Jim🍄💎❤️ Memecoin,0x028cC8339CfaDbB0E706981118a5D91A725aDCCB,1,5.17,false,Not eligible
234,@CAO NGỌC SƠN,0x0e3d54f71600ad3e71ea8334177b441bb3ed8537,1,5.16,false,Not eligible
235,@Hellm | π,0xfd3b50bb02d9ef01c36703e49d050dfc3f5b3690,1,5.15,false,Not eligible
236,@Moeez,0x5eba6e6842ad7e314df0c71e0103de504a1e77c8,1,5.13,false,Not eligible
237,@ItsDackie,0xdb79578522d2397341954831911b71712136282c,4,5.13,false,Not eligible
238,@sweetl,0x7ec063ccee44945f2c6e7893aad91450a4d1275a,1,5.00,false,Not eligible
239,@Abdsalam Akinyemi,0x3e4bc5f26711fc6af2dd5ff0d234973a185075a3,2,5.00,false,Not eligible
240,@Breathe Agent,0x645f4dc1C08D30BC4c1763bb7A9F97E5f5AA3420,1,5.00,false,Not eligible
241,@Kha Huynh,0xFf9622a41d37760e390e577A581A13d1D7cD2EC7,1,5.00,false,Not eligible
242,@NeoH0DL,0x304261e5Df3801bD25CF2912Ec1af32Cad25D604,3,5.00,false,Not eligible
243,@Ali,0x7eee4653d932dca391b94a807f7a0ec3dbaac8b0,1,5.00,false,Not eligible
244,@zdapricorn.eth,0x88054bD4a3D77E11D09702532D594ecFA7777fBA,1,5.00,false,Not eligible
245,@privacy ish🪿,0x2df868f3176ed8f95d3b0d617a508e2478454ddd,2,5.00,false,Not eligible
246,@cryptoverse.sui,0x5768fEE0a0b0A8EB28C4AE5c0eB39C50f084064C,7,4.89,false,Not eligible
247,@Học viện X ✨,0x2e673d065258dbc4b640686e82968025c09feeb9,1,4.75,false,Not eligible
