rank,username,name,avatar,wallet,posts,score,avg
18,sashinmeena,sashinmeena,https://images.asksurf.ai/TqzVxcrgnKEzGU-j_j_xScC0e1GSZPbJQYyEByKqeH0/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDU2NzQxNDAyMzgyNjIyNzIvcTFJSnFkSWkucG5n,0x3ae1Cfea83DA97D533Bb5f5E6E31C4ecDea3E057,7,54.50,7.79
19,Realboybr,Realboy,https://images.asksurf.ai/3ER7M36DpsZWsU3OvShFdteKPTmy5UxjpzoWT6IzC_I/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NDQyMDE1NTcxNzM1MzA2MjUva0hNMnc5cFpfbm9ybWFsLmpwZw,0xdeB66d0B70A20cb084645e7799D3b7E55b7E6D17,6,53.00,8.83
20,0xCellep,Cellep,https://images.asksurf.ai/GaPphxDJlIrAkD59WHh9ec0x4yNMDEEOU-pa_cvgUWo/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTQ5MjA0MTc4MTE5OTI1NzYvc3A3X0dzNHAuanBn,0xA49678827288d5327227Af3517D602dca6d5Ba56,20,52.00,2.60
21,77bncvbsdcg,Faustino,https://images.asksurf.ai/hdIe9KhsEatXhmknKacq1A1BEg9LYHcS_mEOJ3vKvqg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDg4ODY3NjYxMjA2MTU5MzgvaUkxa0FpU2pfbm9ybWFsLmpwZw,0x08EeF384cff15b1518f214bF491cF72AD1c6f79f,7,51.50,7.36
22,Trong_Hatachi,Trong Hatachi (❖ ❖),https://images.asksurf.ai/A8IACTQHnQtvghbJQvuMwp1kJJBliQ5A-Kgdti57Azk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NDI5NDIwOTIyMTg4MjY3NTMvZ0RRbjdtZm0uanBn,0xC70D7342332eCF3c26F991FdBC85A8b8AB1A48bA,12,51.24,4.27
23,alexxx6363,Alexis,https://images.asksurf.ai/1nUvxiCQnKB0Vvphpb5f8XE9aHkgh05uaoHlON2pI5A/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjQ3ODk4NzA4OTIyNjEzNzYvR29ZUXB0UlcuanBn,0xd4cc8bd67f7bCdAA427a120119ffcff0D4182b1c,6,50.00,8.33
24,mahonebtc,Mahon,https://images.asksurf.ai/1gXiwwRec1LdgM9eGQuGoHz9FgmuKwWXCXZeikaB8pQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzgzNDA3Mjg0OTgzMTExNjgvaG9xZTFnZUouanBn,0x4eec5881d2e807a4afe295c7d6c018f5d7a617ac,23,50.00,2.17
25,dang_duytan,GodAir,https://images.asksurf.ai/Zs45Ej2Y89e0aFrdxlcYkyBLV4c_uJ4WNR-31QaWyDk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjYzNjg4ODE2OTk4NDgxOTIvQ0tMQVBXMXMuanBn,0x6e7dbb10343c03da3f07dc6b6a4747c7748fd47a,10,49.24,4.92
26,denispodd_17,denispodd,https://images.asksurf.ai/JbzKOwrCWvW5kHnP29gnG0913mzVLk99hlKM4u-ODL8/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzQ0NjM3MzUzMzE1Njk2NjQvWHJSejdiWGJfbm9ybWFsLmpwZw,0xf517cd0843aefca24046d0ed02d6e04393678ab8,11,48.50,4.41
27,Faithmeta_x,Faith,https://images.asksurf.ai/fUxHpvy_eDQp2fS13NcnJHxD7QFHOTZLDli9sfs7CVA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTgwNzgxNDA2OTA1MzAzMDQvV2djTnJWcFguanBn,0x88ec7156802fcafd959f7d7e33c010f60b76aec0,15,47.50,3.17
28,GuruVerseX,GuruVerseX,https://images.asksurf.ai/afDFyGwPjJkufJOUmZCZJxbse9uZw2EhTpPq8aS0trI/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzIwMzAwMjM0NDkwMDE5ODUvajJDZVFDaWMuanBn,0xDeAC23A7c7A4F105eA65da2A6a506A49Fa8E42Bc,12,47.25,3.94
29,IcMechs,Mechs ℤ,https://images.asksurf.ai/PNyXhcXR5bmjpBrP1XIWRnFMz0VZnWmj3t5hNC8q_9I/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Njc1NTI1MDAwMDcwNjM1NTIvZC1kLWRCZU0uanBn,0xccc90112dc1e75ff6bb9ada31db7b179105c3422,6,47.00,7.83
30,WhalePiz,Piz 🐬TermMax,https://images.asksurf.ai/EdhDSjnZMD1odF_TTI8hZ9ix4EX6G3arWFXfMtXAWDc/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NTU1ODc4MjczODA2NzQ1NjAvcFlRMnduXy0uanBn,0xb3970fb6a4b1fea864612eefc7c84131fade72e0,11,46.25,4.20
31,yapslingerx,SlingerX,https://images.asksurf.ai/IgH9HuzZeSfn17FmksT20RyGRd2xp8pkhePIfleySs4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDcwMjc3NDIzMjg0MDE5MjAvcGZjZGtJN2xfbm9ybWFsLmpwZw,0x0D0Db9fB2D2E051b33216c3f42f77F9b3c3C93e3,4,45.50,11.38
32,KGeNazeemali12,Crypto Empire,https://images.asksurf.ai/CWP63OKbm01bv15L4w-7i_t3O3pJiBOlYhovtZBejhU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTc5NDU1ODcyMjA4NDA0NDkvc2tpRkQ3SnAuanBn,0xe5e84bcf3e570bb3c690363b9e54bbdd8449ea5f,27,45.00,1.67
33,TrieuTiger,Triệu Tiger (健东) 🎮 🌸,https://images.asksurf.ai/nvD6iAUB984kLfIv3VjdI2h1RAvxu_TQzJR1CFxXdyA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDkyNzMyNzkzODM4MTQxNDQvTzE0a3JFaS0uanBn,0xd10E26a2fbfe2732cA442BB697fba9eB1e754c6D,10,45.00,4.50
34,Chinwo2,CIN,https://images.asksurf.ai/wUi2sOQ0EPCxs9xu5dKWckZISsp83WLVGRTyFWuee7c/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Njk2NjEzMjEwMjYxMzgxMTMvVDNKVXJqV2wuanBn,0xebf3e4918ad4bf0ce224277e1feb513c2887b322,12,44.00,3.67
35,INOKAMIKAGURA,Kagura,https://images.asksurf.ai/gLhL6jKX2-vMQpu2mNsz9SAitzt2vspkdb5ZOMI4h3U/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDQ1NzA1MDI1NDM1NzI5OTIvZVhQUEticVVfbm9ybWFsLmpwZw,0x171b5b46555e33e0674436acec2663980242adc6,6,44.00,7.33
36,glomay22,Glomay,https://images.asksurf.ai/K0X23mVasMCHgIEMo_WeRzHf1yfrmisghccTC0ceyjM/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTk3NzU2NTE5OTQxOTgwMjIvYkRORXdJZEFfbm9ybWFsLmpwZw,0xAAf4eF6d1c4fDE4663D8c4F6dA97B20785eDF14C,8,43.98,5.50
37,Axismeta,Axis,https://images.asksurf.ai/XFWDw-YZ2lw3-XVwOMrPecEftqZq6mjsTTR2pa3ApB0/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzAwNjQ1NDQ1MDUzMzU4MDgvVjczdG5EZkwuanBn,0x790E3d7f5421fAb58e63a74CC6aDD7c4b2eCD610,12,43.48,3.62
38,cv_alphas,CV alpha | 🐬TermMax,https://images.asksurf.ai/fewI4qxH8lYOizNKWomhOkQ0uGNNCZnyCVkVUE9X0ps/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3MTgxMjY5MTk5ODY5NTAxNDQvM2lkUWpvUnAuanBn,0x4450dB99260EC3140B4690F1c6bDd64d5d9644A9,6,43.00,7.17
39,RealAntar1,Antar,https://images.asksurf.ai/8qPSjpgJ8Lv0SErS_6zU8nTPwMdBcFrvFiTuV6Rwh1M/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDIzNDEzNDY2MTE1MDcyMDIvZ1hSTEVGYjkuanBn,0xC51fa87d777de83acbC25E6bb6Fb62290567d513,17,42.25,2.49
40,OGFIGO,OG FIGO,https://images.asksurf.ai/ksgUjFDBndhGzE98OIFFLKmWqUwgcsfQDBoTi51uGJc/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDM4ODE1MzgwNDM5MjQ0ODAvandiRGlud0IuanBn,0x3966e168ec7e3e0f1007bac9b49187f73fb54d5c,9,42.00,4.67
41,palash433,Palash,https://images.asksurf.ai/GjhHpfq-eZIQKgw08aucOW2Qyb9vYsT5o7hphhBv9dQ/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTAxMTkzMjUzNTgwMDYyNzIvdklycnpxZzJfbm9ybWFsLmpwZw,0xbd876C7dB94afF7780EaE9b3eE655d1949598af2,5,41.00,8.20
42,Tentacion_sin,Tentacionsin,https://images.asksurf.ai/HBgjgh4z-X-XPxc-_1pkQJMgrq3-aFbEBuYwJtRTJeY/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDYzMjAxNTQ5OTc4NTQyMDgvbVZkTDJjTUouanBn,0x05f5b21fe287bfa78af42c09f9a44796b0917daa,10,40.00,4.00
43,HEiMajesty,Divine,https://images.asksurf.ai/zu-pshLX80s7VGQcz03mnuYDGemMXqLKhry-_gpH1l8/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDEyOTk5OTQ3MTY4NTIyMjQvLUxOSldTLVUuanBn,0x650fD15d0D50E05cE202deC392096E9cff78BD57,9,39.50,4.39
44,Realdropforge,DropForge,https://images.asksurf.ai/_1n_bzi6FuEJ2Tx8BxOMBcl45byFfoky2yhe17z9HM4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NzQ4OTQyMTM5MzUzMzc0NzMvemJVODhmZmMuanBn,0x7E0Eb14cc0d6C89Ed8650AC73660395aa61D3F91,9,39.50,4.39
45,ShinyNfts,ShinyNfts,https://images.asksurf.ai/z8Xy3V735ZgQ77piqWHFY5WSSMrR9A64-0pSc9oXQXs/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NTgyMTk4NjAzMDA3NTkwNDAvWXNFRnc2ZkVfbm9ybWFsLmpwZw,0xFAD5098DBd9fDFf3e25151a13E8e40396AA0CF3f,6,39.50,6.58
46,Zyntrixt,Zyntrix,https://images.asksurf.ai/Dd4M9S-UuXco76HrSlg6ofrM1wM78vocDYpNjH584nY/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjIwMTkzOTY4OTAxOTgwMTYvQm45OHBkTncuanBn,0xfd3cc03b0bc89d8bdc6b56fefb61f45f69a30360,5,38.00,7.60
47,Ma_xeeno,MaXeeno 〽️,https://images.asksurf.ai/x8zsNyELSGU65UkdHfxRefqyefSLvuk2rkhc_nfUf38/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDY3MDgzNjU0MDYxOTk4MDgvQ1NhLXFOZzYuanBn,0x7e4db4461e75527f0a1edaf6e6bbff90f0bd57fc,8,37.80,4.72
48,xleva_eth,xleva,https://images.asksurf.ai/gpWtWPDMlQO0iZdqmA9PJzQViqyIz_FJ7S0iH99L8D4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5MTQ4MTM5NTc4OTU3NTc4MjQvTW1lemVGQ2xfbm9ybWFsLmpwZw,0x7C49e8233598F30d0c641A8AEAe26Fe411337dC9,6,37.60,6.27
49,PrettyFavy17,Big Favy,https://images.asksurf.ai/yeJbFi8M6INt4DJg6TjDi48FgZz93FtW4mFNJvm1FtU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzA3NTIxOTIwOTc4NzM5MjAvZTJ2WEJSX20uanBn,0x6Be56fDAAa8De8cf6c8Eea8c8138B0363326750f,10,37.59,3.76
50,Bigmanstuff0,VULCAN 🌋,https://images.asksurf.ai/CZNkuRI9Exeg8qDDqoT6bwwPGLVyivTH83aK9Ya8tqA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3ODQ2MzE3MzEwMTk5NzY3MDUvMFJ5LUwwX2cuanBn,0x96993C0aB74299f3C304a08DE30Dc2a3f1E072b4,7,37.50,5.36
51,zyllona,Zyllona,https://images.asksurf.ai/HNBMC31eX-ARrqJtJN_DF_0Uw5JadN7JEehpcUBYPLk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMDgyNzczMzI3MzQxNjkwODgvRXBydE05MVNfbm9ybWFsLmpwZw,0x93e21001370ebfc72e5f3e8c8a8338fb7c6907bc,6,37.49,6.25
52,0xHeroe_,Heroe,https://images.asksurf.ai/BdzG1k_fwUXZnUf-djYwapA7qrO5k4H7NpcCSDQMPdA/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4NDUwNDY2ODA4Nzk1NTQ1NzUvSVBUNTcxbW4uanBn,0xc2220f187c1be3eef9c165453af54b1d2b758dcf,8,37.40,4.68
53,NeoORDON,WARDON,https://images.asksurf.ai/3KF8268wFSPynll1FRY5DEScStdrHmPwRJD07g3u330/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NjkzMTYyMzk1NTUwOTI0ODAveHc2N3dWRDlfbm9ybWFsLmpwZw,0x5e391fa2c129502de431fe5a44ec0184ecaa1682,6,37.30,6.22
54,regularweb3guy,RegularWeb3Guy ♑️,https://images.asksurf.ai/UyjqoZRN9u4t6UrXGMLQfm0YJudwR5UyMyN5vCAa0Sc/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTAwMDYwODU3MDUyODE1MzYvYnQwbVR1TFYuanBn,0x6c056F656AE0B7F37E15eACB63D577561A07b686,9,37.25,4.14
55,ajjeee__,Ajjeee,https://images.asksurf.ai/UNj3aYLf1jqmgw2uxutkFCcdges7YC_AwsRKfOrrH9M/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE3MjgzNzE4OTc0MzAwNzc0NDEvVVF4ZTZDOWpfbm9ybWFsLmpwZw,0x1cc25b09bfdcc5a3d10da91a694e0000c7a2142c,6,37.20,6.20
56,Villa_PHM,Golden Ducky,https://images.asksurf.ai/xHk_UpFhbH1mBgKaIxTTzuEehG6chUOm0tF6DZwiUGk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE4NTM5NzQyMjkwMDk3MzU2ODAvUkRnVGdYYXpfbm9ybWFsLmpwZw,0x3BE469353358d9b92078e9601278088ee0205CAe,5,36.48,7.30
57,Trathoa,Trathoa,https://images.asksurf.ai/TB6MNcHR67fiByTdtxzm_Q9NSJf5AyNBL0cjcLncAR4/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTY0MDc0NzkwNjkxODQwMDEvRXZTTzg2VzMuanBn,0xa931D1Fd0F87191e3CD71e68c6A6F39e588CB4FE,7,35.50,5.07
58,Mineus092,Antonius Fajar H,https://images.asksurf.ai/D-RFoImmOVbyJinsu2PdgVkMHgS5cTY-ULN66Xswhsk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDYxMjU3OTI4MDgyODgyNTYvVXdaRWVXSEEuanBn,0xA87f03d0e70090b89Fd30a5bE355F9daEA1a58c5,8,35.00,4.38
59,jvstme_ophyxial,Val 情人 🀄️,https://images.asksurf.ai/54f504HAMd0RzWImKmJdxELVXZ8uXTVoWR_QwZZOGeI/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDM4OTQ5NDQ2OTY1NDUyODIvSksxa29EZFEuanBn,0xccb315688fca77a423523101da5efc9043d8ff4b,9,35.00,3.89
60,maanar_ooo,Manaro| Endless 𒀭,https://images.asksurf.ai/giPyuWnaEw_vkIp1OLGuWDqWTHvhlWpyufLVGI16hs0/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NzA4NTY4NTQyOTgyNzU4NDMvNFFQejgySlUuanBn,0x49A11267E4b16c576bFE2bb6725e36D8Fe759E7B,7,35.00,5.00
61,loho_a,preshy🦾,https://images.asksurf.ai/SXKjNTpg-bDgmFmimBwrTdHrbYfTGO60vTj2lczmitU/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5OTM1ODc5NDc3NjU5MzYxMjgvcVBfWHBSRXkuanBn,0x74c973dd8cfbba12af5542b3e0bbd4b27526a119,5,34.90,6.98
62,RMac_5,Ragen,https://images.asksurf.ai/wMiRndioZa4j4VR047iMrRozfX_hHC1qqmzaKNNg2Ww/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMzA1NjIxNzU1OTc4MTc4NTcvdV81WGx6SzFfbm9ybWFsLmpwZw,0xaaf3630e8bd9f09ac5b9861a734029122c4b194b,5,34.00,6.80
63,CnVL8,ALong,https://images.asksurf.ai/3teBTag9RQHbK2UNs_rON1aViPmAc_cd7JcDuhIh6z0/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5NDI1MzYyMDkyMjc1MjYxNDQvaC1nRHFxc3dfbm9ybWFsLmpwZw,0x885e477afd23e6f915a9cabe6e6dba076464de5a,5,33.87,6.77
64,GookieNft,GookieNft,https://images.asksurf.ai/0L8Nyak0B0-tfrDwknhdqeeNhXC_qLd6AhKUE-DsU_s/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzE5Mzg4OTIyMTIwODA3MDE0NDAvb0xPRU9uV3IuanBn,0xc4b41818715268ba6d5c78ff0cddd180476dd1a4,7,33.25,4.75
65,Jessdotfun,Jess,https://images.asksurf.ai/T4JbHixGIBln584iiYAAh-kbFFuWeHgrfr4BSJa_cAs/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMjMwNTUwODg1ODgzMTI1NzYvU2pyZGhoSFguanBn,0x116bC2E4CEC40EaD576cCC8E5d21f95B9D5e4917,21,33.00,1.57
66,DonSmile12,Smile,https://images.asksurf.ai/X-g4yg-tmb1mkJV4zJZ9WVmWMaK9aVsYGDKYg8Z286Y/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDU5MDc0MjExNjQzNTE0ODgvX3VUTmVpZmwuanBn,0xC7f99a56A492D69a5F53E02436280C9A2B503E24,6,30.50,5.08
67,cxmrondlls,Cxmrondlls,https://images.asksurf.ai/yT9M0Ph3Gd6wVUK2yWlbowjxf9DZgGC83G6f3b2T5Jg/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwNDQzMDU5ODQ1NDY1OTA3MjAvSmt5TF9kY0dfbm9ybWFsLmpwZw,0xFe28B624df045873f15C6745e5380F2C8e7429DB,6,30.50,5.08
68,earning_sectors,AaTi SarKaaR,https://images.asksurf.ai/KLox0MzAnx83gSHco3KG2_OtdAdEJkSQNtHi0CGsqJk/aHR0cHM6Ly9wYnMudHdpbWcuY29tL3Byb2ZpbGVfaW1hZ2VzLzIwMTg2NDI0NTIyMjg0NzY5MzAvRnNXRjBSck8uanBn,0xb1462d298Eda16C7EE5D796c60e8De2c4d6f64ba,6,30.25,5.04
